it,step_length,step_norm,obj,fx
0,1.907348632812500000e-06,1.192488617043288167e-08,1.742406377770298720e+00,1.742406377628546554e+00
1,9.536743164062500000e-07,5.962443085216440834e-09,1.742406377671541495e+00,1.742406377628546554e+00
2,4.768371582031250000e-07,2.981221542608220417e-09,1.742406377636935844e+00,1.742406377628546554e+00
3,2.384185791015625000e-07,1.490610771304110208e-09,1.742406377629465375e+00,1.742406377628546554e+00
4,1.192092895507812500e-07,7.453053856520551042e-10,1.742406377652631067e+00,1.742406377628546554e+00
5,5.960464477539062500e-08,3.726526928260275521e-10,1.742406377664823092e+00,1.742406377628546554e+00
6,2.980232238769531250e-08,1.863263464130137761e-10,1.742406377671068096e+00,1.742406377628546554e+00
7,1.490116119384765625e-08,9.316317320650688803e-11,1.742406377674229567e+00,1.742406377628546554e+00
8,7.450580596923828125e-09,4.658158660325344401e-11,1.742406377675820739e+00,1.742406377628546554e+00
9,3.725290298461914062e-09,2.329079330162672201e-11,1.742406377652182758e+00,1.742406377628546554e+00
10,1.862645149230957031e-09,1.164539665081336100e-11,1.742406377664799333e+00,1.742406377628546554e+00
11,9.313225746154785156e-10,5.822698325406680502e-12,1.742406377646671611e+00,1.742406377628546554e+00
12,4.656612873077392578e-10,2.911349162703340251e-12,1.742406377662043981e+00,1.742406377628546554e+00
13,2.328306436538696289e-10,1.455674581351670125e-12,1.742406377669730277e+00,1.742406377628546554e+00
14,1.164153218269348145e-10,7.278372906758350627e-13,1.742406377673573425e+00,1.742406377628546554e+00
15,5.820766091346740723e-11,3.639186453379175314e-13,1.742406377675496110e+00,1.742406377628546554e+00
16,2.910383045673370361e-11,1.819593226689587657e-13,1.742406377676455120e+00,1.742406377628546554e+00
17,1.455191522836685181e-11,9.097966133447938284e-14,1.742406377676935847e+00,1.742406377628546554e+00
18,7.275957614183425903e-12,4.548983066723969142e-14,1.742406377677177431e+00,1.742406377628546554e+00
19,3.637978807091712952e-12,2.274491533361984571e-14,1.742406377677296891e+00,1.742406377628546554e+00
20,1.818989403545856476e-12,1.137245766680992286e-14,1.742406377677355511e+00,1.742406377628546554e+00
21,9.094947017729282379e-13,5.686228833404961428e-15,1.742406377677386153e+00,1.742406377628546554e+00
22,4.547473508864641190e-13,2.843114416702480714e-15,1.742406377677402363e+00,1.742406377628546554e+00
23,2.273736754432320595e-13,1.421557208351240357e-15,1.742406377677409468e+00,1.742406377628546554e+00
24,1.136868377216160297e-13,7.107786041756201784e-16,1.742406377677411911e+00,1.742406377628546554e+00
25,5.684341886080801487e-14,3.553893020878100892e-16,1.742406377677414131e+00,1.742406377628546554e+00
26,2.842170943040400743e-14,1.776946510439050446e-16,1.742406377628546554e+00,1.742406377628546554e+00
27,1.421085471520200372e-14,8.884732552195252231e-17,1.742406377628546554e+00,1.742406377628546554e+00
28,7.105427357601001859e-15,4.442366276097626115e-17,1.742406377628546554e+00,1.742406377628546554e+00
29,3.552713678800500929e-15,2.221183138048813058e-17,1.742406377628546554e+00,1.742406377628546554e+00
30,1.776356839400250465e-15,1.110591569024406529e-17,1.742406377628546554e+00,1.742406377628546554e+00
31,8.881784197001252323e-16,5.552957845122032644e-18,1.742406377628546554e+00,1.742406377628546554e+00
32,4.440892098500626162e-16,2.776478922561016322e-18,1.742406377628546554e+00,1.742406377628546554e+00
33,2.220446049250313081e-16,1.388239461280508161e-18,1.742406377628546554e+00,1.742406377628546554e+00
34,1.110223024625156540e-16,6.941197306402540805e-19,1.742406377628546554e+00,1.742406377628546554e+00
35,5.551115123125782702e-17,3.470598653201270403e-19,1.742406377628546554e+00,1.742406377628546554e+00
36,2.775557561562891351e-17,1.735299326600635201e-19,1.742406377628546554e+00,1.742406377628546554e+00
