Iterations,Velocity,Newton Energy,Gradient Energy,Gradient Mass Energy,Newton Direction L2,Newton Direction Linf,Newton Direction Mass Norm
2,5.27E-08,5.34E-10,4.01E-10,7.95E-10,8.08E-10,8.06E-10,1.64E-09
2,1.12E-07,1.12E-09,1.05E-09,2.04E-09,1.62E-09,1.60E-09,3.28E-09
2,1.83E-07,1.82E-09,2.06E-09,3.93E-09,2.44E-09,2.40E-09,4.94E-09
2,2.70E-07,2.65E-09,3.43E-09,6.50E-09,3.28E-09,3.18E-09,6.63E-09
2,3.75E-07,3.64E-09,5.16E-09,9.74E-09,4.15E-09,3.96E-09,8.37E-09
2,4.97E-07,4.79E-09,7.25E-09,1.36E-08,5.05E-09,4.73E-09,1.02E-08
2,6.38E-07,6.12E-09,9.67E-09,1.82E-08,6.00E-09,5.50E-09,1.20E-08
2,7.98E-07,7.61E-09,1.24E-08,2.33E-08,6.98E-09,6.26E-09,1.40E-08
2,9.73E-07,9.26E-09,1.55E-08,2.89E-08,8.02E-09,7.02E-09,1.60E-08
2,1.16E-06,1.11E-08,1.88E-08,3.51E-08,9.11E-09,7.77E-09,1.81E-08
2,1.37E-06,1.30E-08,2.25E-08,4.18E-08,1.02E-08,8.52E-09,2.02E-08
2,1.60E-06,1.51E-08,2.64E-08,4.89E-08,1.14E-08,9.26E-09,2.25E-08
2,1.84E-06,1.74E-08,3.05E-08,5.64E-08,1.27E-08,1.00E-08,2.48E-08
2,2.09E-06,1.97E-08,3.48E-08,6.43E-08,1.40E-08,1.07E-08,2.73E-08
2,2.35E-06,2.22E-08,3.94E-08,7.25E-08,1.53E-08,1.15E-08,2.98E-08
2,2.62E-06,2.47E-08,4.41E-08,8.09E-08,1.67E-08,1.22E-08,3.23E-08
2,2.91E-06,2.74E-08,4.89E-08,8.96E-08,1.82E-08,1.30E-08,3.50E-08
2,3.20E-06,3.02E-08,5.39E-08,9.85E-08,1.96E-08,1.37E-08,3.77E-08
2,3.50E-06,3.30E-08,5.90E-08,1.07E-07,2.12E-08,1.45E-08,4.04E-08
2,3.81E-06,3.59E-08,6.42E-08,1.17E-07,2.27E-08,1.58E-08,4.32E-08
2,4.12E-06,3.88E-08,6.95E-08,1.26E-07,2.43E-08,1.70E-08,4.60E-08
2,4.45E-06,4.18E-08,7.48E-08,1.35E-07,2.59E-08,1.83E-08,4.89E-08
2,4.77E-06,4.48E-08,8.01E-08,1.44E-07,2.76E-08,1.96E-08,5.18E-08
2,5.10E-06,4.79E-08,8.54E-08,1.53E-07,2.93E-08,2.08E-08,5.47E-08
2,5.43E-06,5.09E-08,9.08E-08,1.62E-07,3.10E-08,2.20E-08,5.76E-08
2,5.76E-06,5.40E-08,9.60E-08,1.71E-07,3.27E-08,2.32E-08,6.05E-08
2,6.08E-06,5.70E-08,1.01E-07,1.79E-07,3.44E-08,2.44E-08,6.34E-08
2,6.40E-06,6.01E-08,1.06E-07,1.88E-07,3.61E-08,2.55E-08,6.63E-08
2,6.72E-06,6.30E-08,1.11E-07,1.96E-07,3.78E-08,2.66E-08,6.91E-08
2,7.04E-06,6.60E-08,1.16E-07,2.03E-07,3.95E-08,2.77E-08,7.19E-08
2,7.35E-06,6.89E-08,1.21E-07,2.11E-07,4.12E-08,2.87E-08,7.47E-08
2,7.65E-06,7.18E-08,1.26E-07,2.18E-07,4.29E-08,2.96E-08,7.74E-08
2,7.94E-06,7.46E-08,1.30E-07,2.25E-07,4.46E-08,3.05E-08,8.01E-08
2,8.23E-06,7.73E-08,1.35E-07,2.31E-07,4.63E-08,3.13E-08,8.27E-08
2,8.50E-06,7.99E-08,1.39E-07,2.37E-07,4.79E-08,3.21E-08,8.53E-08
2,8.77E-06,8.25E-08,1.43E-07,2.43E-07,4.95E-08,3.27E-08,8.78E-08
2,9.02E-06,8.49E-08,1.46E-07,2.48E-07,5.10E-08,3.33E-08,9.02E-08
2,9.26E-06,8.72E-08,1.50E-07,2.53E-07,5.26E-08,3.38E-08,9.25E-08
2,9.49E-06,8.95E-08,1.53E-07,2.57E-07,5.40E-08,3.43E-08,9.47E-08
2,9.71E-06,9.16E-08,1.56E-07,2.61E-07,5.55E-08,3.46E-08,9.69E-08
2,9.93E-06,9.36E-08,1.59E-07,2.64E-07,5.69E-08,3.49E-08,9.90E-08
2,1.01E-05,9.55E-08,1.61E-07,2.67E-07,5.82E-08,3.50E-08,1.01E-07
2,1.03E-05,9.72E-08,1.63E-07,2.70E-07,5.95E-08,3.53E-08,1.03E-07
2,1.05E-05,9.88E-08,1.65E-07,2.72E-07,6.07E-08,3.63E-08,1.05E-07
2,1.06E-05,1.00E-07,1.67E-07,2.73E-07,6.18E-08,3.73E-08,1.06E-07
2,1.08E-05,1.02E-07,1.68E-07,2.74E-07,6.29E-08,3.83E-08,1.08E-07
2,1.09E-05,1.03E-07,1.70E-07,2.75E-07,6.40E-08,3.93E-08,1.09E-07
2,1.10E-05,1.04E-07,1.70E-07,2.76E-07,6.49E-08,4.03E-08,1.11E-07
2,1.11E-05,1.05E-07,1.71E-07,2.76E-07,6.58E-08,4.13E-08,1.12E-07
2,1.12E-05,1.06E-07,1.71E-07,2.75E-07,6.66E-08,4.22E-08,1.13E-07
2,1.12E-05,1.06E-07,1.71E-07,2.74E-07,6.73E-08,4.32E-08,1.14E-07
2,1.13E-05,1.07E-07,1.71E-07,2.73E-07,6.80E-08,4.41E-08,1.15E-07
2,1.13E-05,1.07E-07,1.71E-07,2.72E-07,6.85E-08,4.50E-08,1.16E-07
2,1.13E-05,1.07E-07,1.70E-07,2.70E-07,6.90E-08,4.59E-08,1.17E-07
2,1.13E-05,1.07E-07,1.69E-07,2.68E-07,6.94E-08,4.67E-08,1.18E-07
2,1.13E-05,1.07E-07,1.68E-07,2.65E-07,6.98E-08,4.75E-08,1.18E-07
2,1.13E-05,1.07E-07,1.66E-07,2.63E-07,7.00E-08,4.83E-08,1.19E-07
2,1.12E-05,1.06E-07,1.65E-07,2.60E-07,7.02E-08,4.90E-08,1.19E-07
2,1.12E-05,1.06E-07,1.63E-07,2.57E-07,7.02E-08,4.97E-08,1.19E-07
2,1.11E-05,1.05E-07,1.61E-07,2.53E-07,7.02E-08,5.03E-08,1.20E-07
2,1.10E-05,1.04E-07,1.59E-07,2.50E-07,7.01E-08,5.08E-08,1.20E-07
2,1.09E-05,1.03E-07,1.56E-07,2.46E-07,7.00E-08,5.13E-08,1.20E-07
2,1.08E-05,1.02E-07,1.54E-07,2.42E-07,6.97E-08,5.18E-08,1.19E-07
2,1.07E-05,1.01E-07,1.51E-07,2.38E-07,6.93E-08,5.22E-08,1.19E-07
2,1.05E-05,9.98E-08,1.48E-07,2.34E-07,6.89E-08,5.25E-08,1.19E-07
2,1.04E-05,9.84E-08,1.45E-07,2.29E-07,6.84E-08,5.27E-08,1.18E-07
2,1.02E-05,9.69E-08,1.42E-07,2.25E-07,6.78E-08,5.28E-08,1.18E-07
2,1.00E-05,9.52E-08,1.38E-07,2.20E-07,6.71E-08,5.29E-08,1.17E-07
2,9.83E-06,9.35E-08,1.35E-07,2.15E-07,6.64E-08,5.29E-08,1.16E-07
2,9.63E-06,9.17E-08,1.31E-07,2.10E-07,6.55E-08,5.28E-08,1.15E-07
