Iterations,Velocity,Newton Energy,Gradient Energy,Gradient Mass Energy,Newton Direction L2,Newton Direction Linf,Newton Direction Mass Norm
2,5.27E-08,2.85E-19,1.61E-19,6.32E-19,6.52E-19,8.06E-10,2.69E-18
2,1.12E-07,1.26E-18,1.11E-18,4.18E-18,2.62E-18,1.60E-09,1.08E-17
2,1.83E-07,3.30E-18,4.23E-18,1.55E-17,5.95E-18,2.40E-09,2.44E-17
2,2.70E-07,7.02E-18,1.17E-17,4.23E-17,1.08E-17,3.18E-09,4.40E-17
2,3.75E-07,1.32E-17,2.66E-17,9.50E-17,1.72E-17,3.96E-09,7.01E-17
2,4.97E-07,2.30E-17,5.25E-17,1.86E-16,2.55E-17,4.73E-09,1.03E-16
2,6.38E-07,3.74E-17,9.36E-17,3.30E-16,3.60E-17,5.50E-09,1.45E-16
2,7.98E-07,5.79E-17,1.54E-16,5.41E-16,4.88E-17,6.26E-09,1.95E-16
2,9.73E-07,8.57E-17,2.40E-16,8.37E-16,6.43E-17,7.02E-09,2.55E-16
2,1.16E-06,1.22E-16,3.55E-16,1.23E-15,8.29E-17,7.77E-09,3.26E-16
2,1.37E-06,1.70E-16,5.05E-16,1.75E-15,1.05E-16,8.52E-09,4.09E-16
2,1.60E-06,2.29E-16,6.95E-16,2.39E-15,1.31E-16,9.26E-09,5.06E-16
2,1.84E-06,3.01E-16,9.29E-16,3.18E-15,1.61E-16,1.00E-08,6.17E-16
2,2.09E-06,3.88E-16,1.21E-15,4.13E-15,1.95E-16,1.07E-08,7.43E-16
2,2.35E-06,4.92E-16,1.55E-15,5.25E-15,2.35E-16,1.15E-08,8.85E-16
2,2.62E-06,6.13E-16,1.94E-15,6.55E-15,2.79E-16,1.22E-08,1.04E-15
2,2.91E-06,7.52E-16,2.39E-15,8.03E-15,3.29E-16,1.30E-08,1.22E-15
2,3.20E-06,9.10E-16,2.91E-15,9.70E-15,3.86E-16,1.37E-08,1.42E-15
2,3.50E-06,1.09E-15,3.48E-15,1.16E-14,4.48E-16,1.45E-08,1.63E-15
2,3.81E-06,1.29E-15,4.12E-15,1.36E-14,5.16E-16,1.58E-08,1.87E-15
2,4.12E-06,1.51E-15,4.83E-15,1.58E-14,5.91E-16,1.70E-08,2.12E-15
2,4.45E-06,1.75E-15,5.59E-15,1.82E-14,6.73E-16,1.83E-08,2.39E-15
2,4.77E-06,2.01E-15,6.42E-15,2.07E-14,7.61E-16,1.96E-08,2.68E-15
2,5.10E-06,2.29E-15,7.30E-15,2.34E-14,8.57E-16,2.08E-08,2.99E-15
2,5.43E-06,2.59E-15,8.24E-15,2.62E-14,9.58E-16,2.20E-08,3.32E-15
2,5.76E-06,2.91E-15,9.22E-15,2.91E-14,1.07E-15,2.32E-08,3.66E-15
2,6.08E-06,3.25E-15,1.03E-14,3.21E-14,1.18E-15,2.44E-08,4.02E-15
2,6.40E-06,3.61E-15,1.13E-14,3.52E-14,1.30E-15,2.55E-08,4.39E-15
2,6.72E-06,3.98E-15,1.24E-14,3.82E-14,1.43E-15,2.66E-08,4.78E-15
2,7.04E-06,4.36E-15,1.35E-14,4.14E-14,1.56E-15,2.77E-08,5.17E-15
2,7.35E-06,4.75E-15,1.47E-14,4.45E-14,1.70E-15,2.87E-08,5.58E-15
2,7.65E-06,5.15E-15,1.58E-14,4.75E-14,1.84E-15,2.96E-08,6.00E-15
2,7.94E-06,5.56E-15,1.70E-14,5.05E-14,1.99E-15,3.05E-08,6.42E-15
2,8.23E-06,5.97E-15,1.81E-14,5.34E-14,2.14E-15,3.13E-08,6.85E-15
2,8.50E-06,6.39E-15,1.92E-14,5.62E-14,2.29E-15,3.21E-08,7.27E-15
2,8.77E-06,6.80E-15,2.03E-14,5.89E-14,2.45E-15,3.27E-08,7.70E-15
2,9.02E-06,7.21E-15,2.14E-14,6.15E-14,2.60E-15,3.33E-08,8.13E-15
2,9.26E-06,7.61E-15,2.24E-14,6.38E-14,2.76E-15,3.38E-08,8.56E-15
2,9.49E-06,8.01E-15,2.34E-14,6.60E-14,2.92E-15,3.43E-08,8.98E-15
2,9.71E-06,8.39E-15,2.43E-14,6.80E-14,3.08E-15,3.46E-08,9.39E-15
2,9.93E-06,8.76E-15,2.52E-14,6.98E-14,3.23E-15,3.49E-08,9.79E-15
2,1.01E-05,9.12E-15,2.60E-14,7.13E-14,3.39E-15,3.50E-08,1.02E-14
2,1.03E-05,9.45E-15,2.67E-14,7.27E-14,3.54E-15,3.53E-08,1.06E-14
2,1.05E-05,9.77E-15,2.73E-14,7.38E-14,3.68E-15,3.63E-08,1.09E-14
2,1.06E-05,1.01E-14,2.79E-14,7.47E-14,3.82E-15,3.73E-08,1.13E-14
2,1.08E-05,1.03E-14,2.83E-14,7.53E-14,3.96E-15,3.83E-08,1.16E-14
2,1.09E-05,1.06E-14,2.87E-14,7.58E-14,4.09E-15,3.93E-08,1.20E-14
2,1.10E-05,1.08E-14,2.90E-14,7.60E-14,4.21E-15,4.03E-08,1.23E-14
2,1.11E-05,1.10E-14,2.92E-14,7.59E-14,4.33E-15,4.13E-08,1.25E-14
2,1.12E-05,1.11E-14,2.93E-14,7.57E-14,4.43E-15,4.22E-08,1.28E-14
2,1.12E-05,1.13E-14,2.94E-14,7.53E-14,4.53E-15,4.32E-08,1.31E-14
2,1.13E-05,1.14E-14,2.93E-14,7.46E-14,4.62E-15,4.41E-08,1.33E-14
2,1.13E-05,1.14E-14,2.91E-14,7.38E-14,4.70E-15,4.50E-08,1.35E-14
2,1.13E-05,1.15E-14,2.89E-14,7.28E-14,4.77E-15,4.59E-08,1.37E-14
2,1.13E-05,1.15E-14,2.86E-14,7.17E-14,4.82E-15,4.67E-08,1.38E-14
2,1.13E-05,1.15E-14,2.82E-14,7.04E-14,4.87E-15,4.75E-08,1.40E-14
2,1.13E-05,1.14E-14,2.77E-14,6.90E-14,4.90E-15,4.83E-08,1.41E-14
2,1.12E-05,1.13E-14,2.72E-14,6.75E-14,4.92E-15,4.90E-08,1.42E-14
2,1.12E-05,1.12E-14,2.66E-14,6.58E-14,4.93E-15,4.97E-08,1.42E-14
2,1.11E-05,1.10E-14,2.59E-14,6.41E-14,4.93E-15,5.03E-08,1.43E-14
2,1.10E-05,1.09E-14,2.52E-14,6.23E-14,4.92E-15,5.08E-08,1.43E-14
2,1.09E-05,1.07E-14,2.44E-14,6.04E-14,4.89E-15,5.13E-08,1.43E-14
2,1.08E-05,1.05E-14,2.36E-14,5.85E-14,4.86E-15,5.18E-08,1.43E-14
2,1.07E-05,1.02E-14,2.27E-14,5.65E-14,4.81E-15,5.22E-08,1.42E-14
2,1.05E-05,9.96E-15,2.19E-14,5.45E-14,4.75E-15,5.25E-08,1.41E-14
